year,geo,naics,hours_worked
2002,Prince Edward Island,"Professional, scientific and technical services [54]",38.5
2003,Prince Edward Island,"Professional, scientific and technical services [54]",36.6
2004,Prince Edward Island,"Professional, scientific and technical services [54]",37.7
2005,Prince Edward Island,"Professional, scientific and technical services [54]",38.4
2006,Prince Edward Island,"Professional, scientific and technical services [54]",37.8
2007,Prince Edward Island,"Professional, scientific and technical services [54]",37.1
2008,Prince Edward Island,"Professional, scientific and technical services [54]",38.2
2009,Prince Edward Island,"Professional, scientific and technical services [54]",37.5
2010,Prince Edward Island,"Professional, scientific and technical services [54]",35
2011,Prince Edward Island,"Professional, scientific and technical services [54]",38.3
2012,Prince Edward Island,"Professional, scientific and technical services [54]",38.8
2013,Prince Edward Island,"Professional, scientific and technical services [54]",37
2014,Prince Edward Island,"Professional, scientific and technical services [54]",35.7
2015,Prince Edward Island,"Professional, scientific and technical services [54]",35.6
2016,Prince Edward Island,"Professional, scientific and technical services [54]",37.3
2017,Prince Edward Island,"Professional, scientific and technical services [54]",35.4
2018,Prince Edward Island,"Professional, scientific and technical services [54]",38.1
2019,Prince Edward Island,"Professional, scientific and technical services [54]",36.5
2020,Prince Edward Island,"Professional, scientific and technical services [54]",35.8
1987,Prince Edward Island,"Business, building and other support services [55-56]",29.5
1988,Prince Edward Island,"Business, building and other support services [55-56]",34.1
1989,Prince Edward Island,"Business, building and other support services [55-56]",31.8
1990,Prince Edward Island,"Business, building and other support services [55-56]",33.3
1991,Prince Edward Island,"Business, building and other support services [55-56]",34
1992,Prince Edward Island,"Business, building and other support services [55-56]",33.3
1993,Prince Edward Island,"Business, building and other support services [55-56]",32.6
1994,Prince Edward Island,"Business, building and other support services [55-56]",34.4
1995,Prince Edward Island,"Business, building and other support services [55-56]",29.9
1996,Prince Edward Island,"Business, building and other support services [55-56]",32.4
1997,Prince Edward Island,"Business, building and other support services [55-56]",30.9
1998,Prince Edward Island,"Business, building and other support services [55-56]",31.9
1999,Prince Edward Island,"Business, building and other support services [55-56]",33.6
2000,Prince Edward Island,"Business, building and other support services [55-56]",37.4
2001,Prince Edward Island,"Business, building and other support services [55-56]",33.9
2002,Prince Edward Island,"Business, building and other support services [55-56]",34.7
2003,Prince Edward Island,"Business, building and other support services [55-56]",33.3
2004,Prince Edward Island,"Business, building and other support services [55-56]",33.9
2005,Prince Edward Island,"Business, building and other support services [55-56]",33.9
2006,Prince Edward Island,"Business, building and other support services [55-56]",37.5
2007,Prince Edward Island,"Business, building and other support services [55-56]",35.7
2008,Prince Edward Island,"Business, building and other support services [55-56]",36
2009,Prince Edward Island,"Business, building and other support services [55-56]",33.1
2010,Prince Edward Island,"Business, building and other support services [55-56]",35.7
2011,Prince Edward Island,"Business, building and other support services [55-56]",35.3
2012,Prince Edward Island,"Business, building and other support services [55-56]",35.5
2013,Prince Edward Island,"Business, building and other support services [55-56]",33.3
2014,Prince Edward Island,"Business, building and other support services [55-56]",35.5
2015,Prince Edward Island,"Business, building and other support services [55-56]",34.4
2016,Prince Edward Island,"Business, building and other support services [55-56]",35.5
2017,Prince Edward Island,"Business, building and other support services [55-56]",34.7
2018,Prince Edward Island,"Business, building and other support services [55-56]",34.3
2019,Prince Edward Island,"Business, building and other support services [55-56]",36
2020,Prince Edward Island,"Business, building and other support services [55-56]",33.6
1987,Prince Edward Island,Educational services [61],32.8
1988,Prince Edward Island,Educational services [61],34.4
1989,Prince Edward Island,Educational services [61],35.6
1990,Prince Edward Island,Educational services [61],35.5
1991,Prince Edward Island,Educational services [61],33.5
1992,Prince Edward Island,Educational services [61],33
1993,Prince Edward Island,Educational services [61],35.3
1994,Prince Edward Island,Educational services [61],34.6
1995,Prince Edward Island,Educational services [61],36
1996,Prince Edward Island,Educational services [61],35.4
1997,Prince Edward Island,Educational services [61],35.6
1998,Prince Edward Island,Educational services [61],35.4
1999,Prince Edward Island,Educational services [61],33.9
2000,Prince Edward Island,Educational services [61],35.3
2001,Prince Edward Island,Educational services [61],35.5
2002,Prince Edward Island,Educational services [61],34.1
2003,Prince Edward Island,Educational services [61],34.1
2004,Prince Edward Island,Educational services [61],33.1
2005,Prince Edward Island,Educational services [61],34.3
2006,Prince Edward Island,Educational services [61],34.8
2007,Prince Edward Island,Educational services [61],33.6
2008,Prince Edward Island,Educational services [61],33.4
2009,Prince Edward Island,Educational services [61],33.6
2010,Prince Edward Island,Educational services [61],34.4
2011,Prince Edward Island,Educational services [61],34.5
2012,Prince Edward Island,Educational services [61],35.6
2013,Prince Edward Island,Educational services [61],33.7
2014,Prince Edward Island,Educational services [61],34.4
2015,Prince Edward Island,Educational services [61],32.9
2016,Prince Edward Island,Educational services [61],34
2017,Prince Edward Island,Educational services [61],32.5
2018,Prince Edward Island,Educational services [61],34.6
2019,Prince Edward Island,Educational services [61],33.4
2020,Prince Edward Island,Educational services [61],32.2
1987,Prince Edward Island,Health care and social assistance [62],31.9
1988,Prince Edward Island,Health care and social assistance [62],34.5
1989,Prince Edward Island,Health care and social assistance [62],33.8
1990,Prince Edward Island,Health care and social assistance [62],33.7
1991,Prince Edward Island,Health care and social assistance [62],31.8
1992,Prince Edward Island,Health care and social assistance [62],32.8
1993,Prince Edward Island,Health care and social assistance [62],32.2
1994,Prince Edward Island,Health care and social assistance [62],32.9
1995,Prince Edward Island,Health care and social assistance [62],34
1996,Prince Edward Island,Health care and social assistance [62],33.9
1997,Prince Edward Island,Health care and social assistance [62],34
1998,Prince Edward Island,Health care and social assistance [62],33.2
1999,Prince Edward Island,Health care and social assistance [62],34.7
2000,Prince Edward Island,Health care and social assistance [62],34.9
2001,Prince Edward Island,Health care and social assistance [62],34.1
2002,Prince Edward Island,Health care and social assistance [62],34
2003,Prince Edward Island,Health care and social assistance [62],33.8
2004,Prince Edward Island,Health care and social assistance [62],32.4
2005,Prince Edward Island,Health care and social assistance [62],33.2
2006,Prince Edward Island,Health care and social assistance [62],33.5
2007,Prince Edward Island,Health care and social assistance [62],34
2008,Prince Edward Island,Health care and social assistance [62],32.5
2009,Prince Edward Island,Health care and social assistance [62],33.2
2010,Prince Edward Island,Health care and social assistance [62],33
2011,Prince Edward Island,Health care and social assistance [62],33.7
2012,Prince Edward Island,Health care and social assistance [62],33.7
2013,Prince Edward Island,Health care and social assistance [62],33.5
2014,Prince Edward Island,Health care and social assistance [62],33.7
2015,Prince Edward Island,Health care and social assistance [62],33.4
2016,Prince Edward Island,Health care and social assistance [62],33.1
2017,Prince Edward Island,Health care and social assistance [62],33.6
2018,Prince Edward Island,Health care and social assistance [62],33.2
2019,Prince Edward Island,Health care and social assistance [62],34
2020,Prince Edward Island,Health care and social assistance [62],33.9
1987,Prince Edward Island,"Information, culture and recreation [51, 71]",33
1988,Prince Edward Island,"Information, culture and recreation [51, 71]",35.5
1989,Prince Edward Island,"Information, culture and recreation [51, 71]",35.7
1990,Prince Edward Island,"Information, culture and recreation [51, 71]",35.1
1991,Prince Edward Island,"Information, culture and recreation [51, 71]",36.9
1992,Prince Edward Island,"Information, culture and recreation [51, 71]",35.4
1993,Prince Edward Island,"Information, culture and recreation [51, 71]",34.3
1994,Prince Edward Island,"Information, culture and recreation [51, 71]",33.7
1995,Prince Edward Island,"Information, culture and recreation [51, 71]",34
1996,Prince Edward Island,"Information, culture and recreation [51, 71]",33.2
1997,Prince Edward Island,"Information, culture and recreation [51, 71]",34.6
1998,Prince Edward Island,"Information, culture and recreation [51, 71]",35.3
1999,Prince Edward Island,"Information, culture and recreation [51, 71]",34.3
2000,Prince Edward Island,"Information, culture and recreation [51, 71]",34.3
2001,Prince Edward Island,"Information, culture and recreation [51, 71]",35.2
2002,Prince Edward Island,"Information, culture and recreation [51, 71]",33.7
2003,Prince Edward Island,"Information, culture and recreation [51, 71]",31.7
2004,Prince Edward Island,"Information, culture and recreation [51, 71]",34.7
2005,Prince Edward Island,"Information, culture and recreation [51, 71]",33.6
2006,Prince Edward Island,"Information, culture and recreation [51, 71]",35.7
2007,Prince Edward Island,"Information, culture and recreation [51, 71]",34.2
2008,Prince Edward Island,"Information, culture and recreation [51, 71]",34.1
2009,Prince Edward Island,"Information, culture and recreation [51, 71]",34.7
2010,Prince Edward Island,"Information, culture and recreation [51, 71]",31.2
2011,Prince Edward Island,"Information, culture and recreation [51, 71]",32.7
2012,Prince Edward Island,"Information, culture and recreation [51, 71]",32.5
2013,Prince Edward Island,"Information, culture and recreation [51, 71]",32.3
2014,Prince Edward Island,"Information, culture and recreation [51, 71]",33.1
2015,Prince Edward Island,"Information, culture and recreation [51, 71]",30
2016,Prince Edward Island,"Information, culture and recreation [51, 71]",33.8
2017,Prince Edward Island,"Information, culture and recreation [51, 71]",33.4
2018,Prince Edward Island,"Information, culture and recreation [51, 71]",34.4
2019,Prince Edward Island,"Information, culture and recreation [51, 71]",30.1
2020,Prince Edward Island,"Information, culture and recreation [51, 71]",30.6
1987,Prince Edward Island,Accommodation and food services [72],34.1
1988,Prince Edward Island,Accommodation and food services [72],31.9
1989,Prince Edward Island,Accommodation and food services [72],31.9
1990,Prince Edward Island,Accommodation and food services [72],33.1
1991,Prince Edward Island,Accommodation and food services [72],32.1
1992,Prince Edward Island,Accommodation and food services [72],30.9
1993,Prince Edward Island,Accommodation and food services [72],32.4
1994,Prince Edward Island,Accommodation and food services [72],32.5
1995,Prince Edward Island,Accommodation and food services [72],31.8
1996,Prince Edward Island,Accommodation and food services [72],32.6
1997,Prince Edward Island,Accommodation and food services [72],31.4
1998,Prince Edward Island,Accommodation and food services [72],31.4
1999,Prince Edward Island,Accommodation and food services [72],33.8
2000,Prince Edward Island,Accommodation and food services [72],33.2
2001,Prince Edward Island,Accommodation and food services [72],32
2002,Prince Edward Island,Accommodation and food services [72],32.6
2003,Prince Edward Island,Accommodation and food services [72],33.2
2004,Prince Edward Island,Accommodation and food services [72],30.9
2005,Prince Edward Island,Accommodation and food services [72],31.9
2006,Prince Edward Island,Accommodation and food services [72],31.9
2007,Prince Edward Island,Accommodation and food services [72],30.9
2008,Prince Edward Island,Accommodation and food services [72],30.9
2009,Prince Edward Island,Accommodation and food services [72],31.2
2010,Prince Edward Island,Accommodation and food services [72],28.6
2011,Prince Edward Island,Accommodation and food services [72],30.2
2012,Prince Edward Island,Accommodation and food services [72],30.2
2013,Prince Edward Island,Accommodation and food services [72],30.3
2014,Prince Edward Island,Accommodation and food services [72],31.1
2015,Prince Edward Island,Accommodation and food services [72],30.7
2016,Prince Edward Island,Accommodation and food services [72],29.9
2017,Prince Edward Island,Accommodation and food services [72],31.1
2018,Prince Edward Island,Accommodation and food services [72],30.1
2019,Prince Edward Island,Accommodation and food services [72],31.6
2020,Prince Edward Island,Accommodation and food services [72],29.1
1987,Prince Edward Island,Other services (except public administration) [81],34.3
1988,Prince Edward Island,Other services (except public administration) [81],36
1989,Prince Edward Island,Other services (except public administration) [81],35.5
1990,Prince Edward Island,Other services (except public administration) [81],38
1991,Prince Edward Island,Other services (except public administration) [81],35.5
1992,Prince Edward Island,Other services (except public administration) [81],35
1993,Prince Edward Island,Other services (except public administration) [81],35.2
1994,Prince Edward Island,Other services (except public administration) [81],34.3
1995,Prince Edward Island,Other services (except public administration) [81],35.7
1996,Prince Edward Island,Other services (except public administration) [81],34.1
1997,Prince Edward Island,Other services (except public administration) [81],35.4
1998,Prince Edward Island,Other services (except public administration) [81],34.5
1999,Prince Edward Island,Other services (except public administration) [81],34.8
2000,Prince Edward Island,Other services (except public administration) [81],35.5
2001,Prince Edward Island,Other services (except public administration) [81],34.4
2002,Prince Edward Island,Other services (except public administration) [81],33.8
2003,Prince Edward Island,Other services (except public administration) [81],34.2
2004,Prince Edward Island,Other services (except public administration) [81],35.4
2005,Prince Edward Island,Other services (except public administration) [81],33.8
2006,Prince Edward Island,Other services (except public administration) [81],35
2007,Prince Edward Island,Other services (except public administration) [81],34.4
2008,Prince Edward Island,Other services (except public administration) [81],33.9
2009,Prince Edward Island,Other services (except public administration) [81],34.4
2010,Prince Edward Island,Other services (except public administration) [81],36
2011,Prince Edward Island,Other services (except public administration) [81],34.9
2012,Prince Edward Island,Other services (except public administration) [81],35
2013,Prince Edward Island,Other services (except public administration) [81],34.6
2014,Prince Edward Island,Other services (except public administration) [81],35.8
2015,Prince Edward Island,Other services (except public administration) [81],36.6
2016,Prince Edward Island,Other services (except public administration) [81],36.2
2017,Prince Edward Island,Other services (except public administration) [81],33.6
2018,Prince Edward Island,Other services (except public administration) [81],36.2
2019,Prince Edward Island,Other services (except public administration) [81],35.5
2020,Prince Edward Island,Other services (except public administration) [81],33.5
1987,Nova Scotia,Construction [23],39.3
1988,Nova Scotia,Construction [23],40.8
1989,Nova Scotia,Construction [23],40.3
1990,Nova Scotia,Construction [23],40.7
1991,Nova Scotia,Construction [23],38.7
1992,Nova Scotia,Construction [23],39.3
1993,Nova Scotia,Construction [23],40
1994,Nova Scotia,Construction [23],40
1995,Nova Scotia,Construction [23],40.3
1996,Nova Scotia,Construction [23],40.3
1997,Nova Scotia,Construction [23],40.7
1998,Nova Scotia,Construction [23],41
1999,Nova Scotia,Construction [23],41.3
2000,Nova Scotia,Construction [23],40.7
2001,Nova Scotia,Construction [23],41.4
2002,Nova Scotia,Construction [23],40.2
2003,Nova Scotia,Construction [23],40.4
2004,Nova Scotia,Construction [23],39.8
2005,Nova Scotia,Construction [23],39.2
2006,Nova Scotia,Construction [23],41
2007,Nova Scotia,Construction [23],40.9
2008,Nova Scotia,Construction [23],40.5
2009,Nova Scotia,Construction [23],39.9
2010,Nova Scotia,Construction [23],41
2011,Nova Scotia,Construction [23],40.4
2012,Nova Scotia,Construction [23],41.2
2013,Nova Scotia,Construction [23],41.1
2014,Nova Scotia,Construction [23],40.3
2015,Nova Scotia,Construction [23],40.5
2016,Nova Scotia,Construction [23],39.7
2017,Nova Scotia,Construction [23],40
2018,Nova Scotia,Construction [23],40.2
2019,Nova Scotia,Construction [23],40.6
2020,Nova Scotia,Construction [23],39.8
1987,Nova Scotia,Manufacturing [31-33],39.2
1988,Nova Scotia,Manufacturing [31-33],39.7
1989,Nova Scotia,Manufacturing [31-33],40.5
1990,Nova Scotia,Manufacturing [31-33],40.5
1991,Nova Scotia,Manufacturing [31-33],39.4
1992,Nova Scotia,Manufacturing [31-33],39.1
1993,Nova Scotia,Manufacturing [31-33],39.5
1994,Nova Scotia,Manufacturing [31-33],39.7
1995,Nova Scotia,Manufacturing [31-33],40.2
1996,Nova Scotia,Manufacturing [31-33],40.2
1997,Nova Scotia,Manufacturing [31-33],40.4
1998,Nova Scotia,Manufacturing [31-33],39.7
1999,Nova Scotia,Manufacturing [31-33],40.2
2000,Nova Scotia,Manufacturing [31-33],40.6
2001,Nova Scotia,Manufacturing [31-33],40.5
2002,Nova Scotia,Manufacturing [31-33],39.9
2003,Nova Scotia,Manufacturing [31-33],39.1
2004,Nova Scotia,Manufacturing [31-33],38.3
2005,Nova Scotia,Manufacturing [31-33],40.3
2006,Nova Scotia,Manufacturing [31-33],40.7
2007,Nova Scotia,Manufacturing [31-33],41
2008,Nova Scotia,Manufacturing [31-33],40.6
2009,Nova Scotia,Manufacturing [31-33],38.6
2010,Nova Scotia,Manufacturing [31-33],39.5
2011,Nova Scotia,Manufacturing [31-33],39
2012,Nova Scotia,Manufacturing [31-33],39.3
2013,Nova Scotia,Manufacturing [31-33],39.3
2014,Nova Scotia,Manufacturing [31-33],39.5
2015,Nova Scotia,Manufacturing [31-33],38.7
2016,Nova Scotia,Manufacturing [31-33],39.5
2017,Nova Scotia,Manufacturing [31-33],38.8
2018,Nova Scotia,Manufacturing [31-33],40.2
2019,Nova Scotia,Manufacturing [31-33],39.2
2020,Nova Scotia,Manufacturing [31-33],38.4
1987,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.4
1988,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",35.1
1989,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",35.2
1990,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",35
1991,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.1
1992,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.1
1993,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.7
1994,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.2
1995,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.7
1996,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.7
1997,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.6
1998,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.5
1999,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",35
2000,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.8
2001,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.9
2002,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.5
2003,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.4
2004,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.1
2005,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.1
2006,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.6
2007,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.2
2008,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33
2009,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.1
2010,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.5
2011,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",32.9
2012,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.2
2013,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",32.5
2014,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33.1
2015,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",32.6
2016,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",32.7
2017,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",32.2
2018,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",34.1
2019,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",32.4
2020,Nova Scotia,"Wholesale and retail trade		 [41, 44-45]",33
1987,Nova Scotia,Transportation and warehousing [48-49],42.6
1988,Nova Scotia,Transportation and warehousing [48-49],42
1989,Nova Scotia,Transportation and warehousing [48-49],41.9
1990,Nova Scotia,Transportation and warehousing [48-49],40.6
1991,Nova Scotia,Transportation and warehousing [48-49],41.4
1992,Nova Scotia,Transportation and warehousing [48-49],40.7
1993,Nova Scotia,Transportation and warehousing [48-49],40.2
1994,Nova Scotia,Transportation and warehousing [48-49],41.2
1995,Nova Scotia,Transportation and warehousing [48-49],42.8
1996,Nova Scotia,Transportation and warehousing [48-49],43.3
1997,Nova Scotia,Transportation and warehousing [48-49],42.5
1998,Nova Scotia,Transportation and warehousing [48-49],43.6
1999,Nova Scotia,Transportation and warehousing [48-49],42.5
2000,Nova Scotia,Transportation and warehousing [48-49],41.5
2001,Nova Scotia,Transportation and warehousing [48-49],42.7
2002,Nova Scotia,Transportation and warehousing [48-49],43.5
2003,Nova Scotia,Transportation and warehousing [48-49],41.6
2004,Nova Scotia,Transportation and warehousing [48-49],41.4
2005,Nova Scotia,Transportation and warehousing [48-49],43.8
2006,Nova Scotia,Transportation and warehousing [48-49],41.2
2007,Nova Scotia,Transportation and warehousing [48-49],42.3
2008,Nova Scotia,Transportation and warehousing [48-49],40.9
2009,Nova Scotia,Transportation and warehousing [48-49],41.5
2010,Nova Scotia,Transportation and warehousing [48-49],41.8
2011,Nova Scotia,Transportation and warehousing [48-49],40.9
2012,Nova Scotia,Transportation and warehousing [48-49],40.2
2013,Nova Scotia,Transportation and warehousing [48-49],39.1
2014,Nova Scotia,Transportation and warehousing [48-49],39.8
2015,Nova Scotia,Transportation and warehousing [48-49],40
2016,Nova Scotia,Transportation and warehousing [48-49],40.2
2017,Nova Scotia,Transportation and warehousing [48-49],40.7
2018,Nova Scotia,Transportation and warehousing [48-49],41.7
2019,Nova Scotia,Transportation and warehousing [48-49],40.1
2020,Nova Scotia,Transportation and warehousing [48-49],39.7
1987,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.9
1988,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",38.5
1989,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",38.6
1990,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",38.2
1991,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.4
1992,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",37.1
1993,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",37.5
1994,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",37.7
1995,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",38.5
1996,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",37.2
1997,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",38.1
1998,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.7
1999,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.3
2000,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",38.5
2001,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.2
2002,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.4
2003,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.3
2004,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35
2005,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.3
2006,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.2
2007,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.4
2008,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.5
2009,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.1
2010,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.9
2011,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.2
2012,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.2
2013,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35.1
2014,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",34.6
2015,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35.8
2016,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35.6
2017,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",36.1
2018,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35.9
2019,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35.4
2020,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",35.7
1987,Nova Scotia,"Professional, scientific and technical services [54]",38.7
1988,Nova Scotia,"Professional, scientific and technical services [54]",38.8
1989,Nova Scotia,"Professional, scientific and technical services [54]",40.5
1990,Nova Scotia,"Professional, scientific and technical services [54]",39.4
1991,Nova Scotia,"Professional, scientific and technical services [54]",38.7
1992,Nova Scotia,"Professional, scientific and technical services [54]",39.3
1993,Nova Scotia,"Professional, scientific and technical services [54]",38
1994,Nova Scotia,"Professional, scientific and technical services [54]",40.2
1995,Nova Scotia,"Professional, scientific and technical services [54]",37.6
1996,Nova Scotia,"Professional, scientific and technical services [54]",39.9
1997,Nova Scotia,"Professional, scientific and technical services [54]",38.3
1998,Nova Scotia,"Professional, scientific and technical services [54]",39.4
1999,Nova Scotia,"Professional, scientific and technical services [54]",38.5
2000,Nova Scotia,"Professional, scientific and technical services [54]",39.4
2001,Nova Scotia,"Professional, scientific and technical services [54]",38.9
2002,Nova Scotia,"Professional, scientific and technical services [54]",37.9
2003,Nova Scotia,"Professional, scientific and technical services [54]",38.4
2004,Nova Scotia,"Professional, scientific and technical services [54]",37.5
2005,Nova Scotia,"Professional, scientific and technical services [54]",38
2006,Nova Scotia,"Professional, scientific and technical services [54]",37.7
2007,Nova Scotia,"Professional, scientific and technical services [54]",38.6
2008,Nova Scotia,"Professional, scientific and technical services [54]",37
2009,Nova Scotia,"Professional, scientific and technical services [54]",36.2
2010,Nova Scotia,"Professional, scientific and technical services [54]",37.2
2011,Nova Scotia,"Professional, scientific and technical services [54]",36.8
2012,Nova Scotia,"Professional, scientific and technical services [54]",37.7
2013,Nova Scotia,"Professional, scientific and technical services [54]",36.8
2014,Nova Scotia,"Professional, scientific and technical services [54]",36.1
2015,Nova Scotia,"Professional, scientific and technical services [54]",36.6
2016,Nova Scotia,"Professional, scientific and technical services [54]",37.5
2017,Nova Scotia,"Professional, scientific and technical services [54]",36.6
2018,Nova Scotia,"Professional, scientific and technical services [54]",37.1
2019,Nova Scotia,"Professional, scientific and technical services [54]",36.7
2020,Nova Scotia,"Professional, scientific and technical services [54]",36.5
1987,Nova Scotia,"Business, building and other support services [55-56]",33.8
1988,Nova Scotia,"Business, building and other support services [55-56]",35.2
1989,Nova Scotia,"Business, building and other support services [55-56]",35.6
1990,Nova Scotia,"Business, building and other support services [55-56]",35.2
1991,Nova Scotia,"Business, building and other support services [55-56]",34.9
1992,Nova Scotia,"Business, building and other support services [55-56]",32.8
1993,Nova Scotia,"Business, building and other support services [55-56]",32.4
1994,Nova Scotia,"Business, building and other support services [55-56]",33.5
1995,Nova Scotia,"Business, building and other support services [55-56]",34.5
1996,Nova Scotia,"Business, building and other support services [55-56]",33.5
1997,Nova Scotia,"Business, building and other support services [55-56]",33.4
1998,Nova Scotia,"Business, building and other support services [55-56]",35.1
1999,Nova Scotia,"Business, building and other support services [55-56]",33.6
2000,Nova Scotia,"Business, building and other support services [55-56]",35.4
2001,Nova Scotia,"Business, building and other support services [55-56]",35.1
2002,Nova Scotia,"Business, building and other support services [55-56]",36.5
2003,Nova Scotia,"Business, building and other support services [55-56]",34.6
2004,Nova Scotia,"Business, building and other support services [55-56]",36.4
2005,Nova Scotia,"Business, building and other support services [55-56]",34
2006,Nova Scotia,"Business, building and other support services [55-56]",35.2
2007,Nova Scotia,"Business, building and other support services [55-56]",35.4
2008,Nova Scotia,"Business, building and other support services [55-56]",34.7
2009,Nova Scotia,"Business, building and other support services [55-56]",34.8
2010,Nova Scotia,"Business, building and other support services [55-56]",36.2
2011,Nova Scotia,"Business, building and other support services [55-56]",35.1
2012,Nova Scotia,"Business, building and other support services [55-56]",35.5
2013,Nova Scotia,"Business, building and other support services [55-56]",35.2
2014,Nova Scotia,"Business, building and other support services [55-56]",34.9
2015,Nova Scotia,"Business, building and other support services [55-56]",34.5
2016,Nova Scotia,"Business, building and other support services [55-56]",34.7
2017,Nova Scotia,"Business, building and other support services [55-56]",33.9
2018,Nova Scotia,"Business, building and other support services [55-56]",36.1
2019,Nova Scotia,"Business, building and other support services [55-56]",34.3
2020,Nova Scotia,"Business, building and other support services [55-56]",32.7
1987,Nova Scotia,Educational services [61],34.4
1988,Nova Scotia,Educational services [61],35.1
1989,Nova Scotia,Educational services [61],35.2
1990,Nova Scotia,Educational services [61],36.2
1991,Nova Scotia,Educational services [61],34.9
1992,Nova Scotia,Educational services [61],34.6
1993,Nova Scotia,Educational services [61],34.7
1994,Nova Scotia,Educational services [61],36.7
1995,Nova Scotia,Educational services [61],35
1996,Nova Scotia,Educational services [61],35.4
1997,Nova Scotia,Educational services [61],35.3
1998,Nova Scotia,Educational services [61],35.4
1999,Nova Scotia,Educational services [61],34.8
2000,Nova Scotia,Educational services [61],36.1
2001,Nova Scotia,Educational services [61],35.2
2002,Nova Scotia,Educational services [61],34.7
2003,Nova Scotia,Educational services [61],33.3
2004,Nova Scotia,Educational services [61],32.7
2005,Nova Scotia,Educational services [61],34.3
2006,Nova Scotia,Educational services [61],32.8
