year,geo,occ,wage_rate
2005,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",734.29
2006,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",679.38
2007,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",737.79
2008,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",760.11
2009,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",775.74
2010,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",843.73
2011,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",849.2
2012,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",935.73
2013,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",854.93
2014,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",888.28
2015,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",872.73
2016,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",907.01
2017,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",871.23
2018,Prince Edward Island,"Processing, manufacturing and utilities supervisors and central control operators [92]",1060.53
1997,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],373.48
1998,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],390.88
1999,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],383.23
2000,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],400.02
2001,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],419.88
2002,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],420.67
2003,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],449.28
2004,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],483.26
2005,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],494.6
2006,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],500.14
2007,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],532.17
2008,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],554.04
2009,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],565.05
2010,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],581.82
2011,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],580.53
2012,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],619.57
2013,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],651.03
2014,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],633.76
2015,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],695.64
2016,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],673.77
2017,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],681.05
2018,Prince Edward Island,Processing and manufacturing machine operators and related production workers [94],735.64
1997,Prince Edward Island,Assemblers in manufacturing [95],459.9
1998,Prince Edward Island,Assemblers in manufacturing [95],441.68
1999,Prince Edward Island,Assemblers in manufacturing [95],472.08
2000,Prince Edward Island,Assemblers in manufacturing [95],413.96
2001,Prince Edward Island,Assemblers in manufacturing [95],430.03
2002,Prince Edward Island,Assemblers in manufacturing [95],513.78
2003,Prince Edward Island,Assemblers in manufacturing [95],536.68
2004,Prince Edward Island,Assemblers in manufacturing [95],502.76
2005,Prince Edward Island,Assemblers in manufacturing [95],589.9
2006,Prince Edward Island,Assemblers in manufacturing [95],524.66
2007,Prince Edward Island,Assemblers in manufacturing [95],586.43
2008,Prince Edward Island,Assemblers in manufacturing [95],584.46
2009,Prince Edward Island,Assemblers in manufacturing [95],639.48
2010,Prince Edward Island,Assemblers in manufacturing [95],628.57
2011,Prince Edward Island,Assemblers in manufacturing [95],645.72
2012,Prince Edward Island,Assemblers in manufacturing [95],653.08
2013,Prince Edward Island,Assemblers in manufacturing [95],779.47
2014,Prince Edward Island,Assemblers in manufacturing [95],698.25
2015,Prince Edward Island,Assemblers in manufacturing [95],685.14
2016,Prince Edward Island,Assemblers in manufacturing [95],640.18
2017,Prince Edward Island,Assemblers in manufacturing [95],821.07
2018,Prince Edward Island,Assemblers in manufacturing [95],782.64
1997,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",362.83
1998,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",366.19
1999,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",382.33
2000,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",428.51
2001,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",380.92
2002,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",405.75
2003,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",404.09
2004,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",432.93
2005,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",462.26
2006,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",489.37
2007,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",529.65
2008,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",493.2
2009,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",463.1
2010,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",518.2
2011,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",555.19
2012,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",584.76
2013,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",598.7
2014,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",590.64
2015,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",619.59
2016,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",622.57
2017,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",609.22
2018,Prince Edward Island,"Labourers in processing, manufacturing and utilities [96]",703.88
1997,Nova Scotia,"Total employees, all occupations",479.88
1998,Nova Scotia,"Total employees, all occupations",494.76
1999,Nova Scotia,"Total employees, all occupations",505.43
2000,Nova Scotia,"Total employees, all occupations",524.43
2001,Nova Scotia,"Total employees, all occupations",543.16
2002,Nova Scotia,"Total employees, all occupations",558.32
2003,Nova Scotia,"Total employees, all occupations",573.31
2004,Nova Scotia,"Total employees, all occupations",588.81
2005,Nova Scotia,"Total employees, all occupations",608.23
2006,Nova Scotia,"Total employees, all occupations",618.82
2007,Nova Scotia,"Total employees, all occupations",653.01
2008,Nova Scotia,"Total employees, all occupations",673.69
2009,Nova Scotia,"Total employees, all occupations",706.01
2010,Nova Scotia,"Total employees, all occupations",728.72
2011,Nova Scotia,"Total employees, all occupations",739.98
2012,Nova Scotia,"Total employees, all occupations",765.67
2013,Nova Scotia,"Total employees, all occupations",781.16
2014,Nova Scotia,"Total employees, all occupations",811.76
2015,Nova Scotia,"Total employees, all occupations",820.38
2016,Nova Scotia,"Total employees, all occupations",844.34
2017,Nova Scotia,"Total employees, all occupations",861.23
2018,Nova Scotia,"Total employees, all occupations",875.74
1997,Nova Scotia,Management occupations [0],720.26
1998,Nova Scotia,Management occupations [0],696.73
1999,Nova Scotia,Management occupations [0],783.87
2000,Nova Scotia,Management occupations [0],809.29
2001,Nova Scotia,Management occupations [0],838.14
2002,Nova Scotia,Management occupations [0],933.75
2003,Nova Scotia,Management occupations [0],937.33
2004,Nova Scotia,Management occupations [0],972.57
2005,Nova Scotia,Management occupations [0],1016.09
2006,Nova Scotia,Management occupations [0],963.25
2007,Nova Scotia,Management occupations [0],1016.77
2008,Nova Scotia,Management occupations [0],1034.72
2009,Nova Scotia,Management occupations [0],1077.76
2010,Nova Scotia,Management occupations [0],1117.84
2011,Nova Scotia,Management occupations [0],1161.7
2012,Nova Scotia,Management occupations [0],1263.79
2013,Nova Scotia,Management occupations [0],1327.26
2014,Nova Scotia,Management occupations [0],1393.51
2015,Nova Scotia,Management occupations [0],1327.88
2016,Nova Scotia,Management occupations [0],1360.04
2017,Nova Scotia,Management occupations [0],1480.61
2018,Nova Scotia,Management occupations [0],1517.68
1997,Nova Scotia,Senior management occupations [00],825.55
1998,Nova Scotia,Senior management occupations [00],1013.21
1999,Nova Scotia,Senior management occupations [00],1049.18
2000,Nova Scotia,Senior management occupations [00],929.47
2001,Nova Scotia,Senior management occupations [00],1092.43
2002,Nova Scotia,Senior management occupations [00],1347.25
2003,Nova Scotia,Senior management occupations [00],1353.57
2004,Nova Scotia,Senior management occupations [00],1132.74
2005,Nova Scotia,Senior management occupations [00],1371.63
2006,Nova Scotia,Senior management occupations [00],1201.12
2007,Nova Scotia,Senior management occupations [00],1365.93
2008,Nova Scotia,Senior management occupations [00],1195.3
2009,Nova Scotia,Senior management occupations [00],1408.33
2010,Nova Scotia,Senior management occupations [00],1490.96
2011,Nova Scotia,Senior management occupations [00],1636.25
2012,Nova Scotia,Senior management occupations [00],1769.22
2013,Nova Scotia,Senior management occupations [00],1680.28
2014,Nova Scotia,Senior management occupations [00],1624.31
2015,Nova Scotia,Senior management occupations [00],
2016,Nova Scotia,Senior management occupations [00],1830.19
2017,Nova Scotia,Senior management occupations [00],1658.06
2018,Nova Scotia,Senior management occupations [00],1953.38
1997,Nova Scotia,Specialized middle management occupations [01-05],831.7
1998,Nova Scotia,Specialized middle management occupations [01-05],759.17
1999,Nova Scotia,Specialized middle management occupations [01-05],864.67
2000,Nova Scotia,Specialized middle management occupations [01-05],930.32
2001,Nova Scotia,Specialized middle management occupations [01-05],999.14
2002,Nova Scotia,Specialized middle management occupations [01-05],991.07
2003,Nova Scotia,Specialized middle management occupations [01-05],1045.26
2004,Nova Scotia,Specialized middle management occupations [01-05],1101.51
2005,Nova Scotia,Specialized middle management occupations [01-05],1097.94
2006,Nova Scotia,Specialized middle management occupations [01-05],1097.96
2007,Nova Scotia,Specialized middle management occupations [01-05],1159.06
2008,Nova Scotia,Specialized middle management occupations [01-05],1165.09
2009,Nova Scotia,Specialized middle management occupations [01-05],1220.82
2010,Nova Scotia,Specialized middle management occupations [01-05],1278.45
2011,Nova Scotia,Specialized middle management occupations [01-05],1332.5
2012,Nova Scotia,Specialized middle management occupations [01-05],1363.29
2013,Nova Scotia,Specialized middle management occupations [01-05],1410.02
2014,Nova Scotia,Specialized middle management occupations [01-05],1548.69
2015,Nova Scotia,Specialized middle management occupations [01-05],1441.94
2016,Nova Scotia,Specialized middle management occupations [01-05],1513.3
2017,Nova Scotia,Specialized middle management occupations [01-05],1590.88
2018,Nova Scotia,Specialized middle management occupations [01-05],1599.9
1997,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],565.98
1998,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],560.12
1999,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],593.22
2000,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],651.4
2001,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],614.16
2002,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],765.65
2003,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],690.39
2004,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],751.8
2005,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],825.55
2006,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],787.81
2007,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],820.95
2008,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],818.57
2009,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],810.71
2010,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],839.91
2011,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],880.4
2012,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],992.24
2013,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],1027.26
2014,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],1107.84
2015,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],1088.55
2016,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],1009.59
2017,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],1200.3
2018,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services [06],1308.17
1997,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",834.95
1998,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",811.23
1999,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1013.13
2000,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",913.47
2001,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",906.39
2002,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",934.85
2003,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1056.03
2004,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",954.14
2005,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1005.6
2006,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",959.97
2007,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1012.87
2008,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1096.55
2009,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1151.97
2010,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1194.2
2011,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1145.05
2012,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1339.51
2013,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1380.86
2014,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1363.42
2015,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1377.08
2016,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1350.73
2017,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1535.3
2018,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities [07-09]",1541.08
1997,Nova Scotia,"Business, finance and administration occupations [1]",466.39
1998,Nova Scotia,"Business, finance and administration occupations [1]",478.67
1999,Nova Scotia,"Business, finance and administration occupations [1]",481.8
2000,Nova Scotia,"Business, finance and administration occupations [1]",496.43
2001,Nova Scotia,"Business, finance and administration occupations [1]",534.03
2002,Nova Scotia,"Business, finance and administration occupations [1]",540.86
2003,Nova Scotia,"Business, finance and administration occupations [1]",552
2004,Nova Scotia,"Business, finance and administration occupations [1]",568.36
2005,Nova Scotia,"Business, finance and administration occupations [1]",564.93
2006,Nova Scotia,"Business, finance and administration occupations [1]",600.76
2007,Nova Scotia,"Business, finance and administration occupations [1]",622.39
2008,Nova Scotia,"Business, finance and administration occupations [1]",652.99
2009,Nova Scotia,"Business, finance and administration occupations [1]",689.77
2010,Nova Scotia,"Business, finance and administration occupations [1]",706.29
2011,Nova Scotia,"Business, finance and administration occupations [1]",735.14
2012,Nova Scotia,"Business, finance and administration occupations [1]",744.65
2013,Nova Scotia,"Business, finance and administration occupations [1]",759.42
2014,Nova Scotia,"Business, finance and administration occupations [1]",778.97
2015,Nova Scotia,"Business, finance and administration occupations [1]",774.41
2016,Nova Scotia,"Business, finance and administration occupations [1]",813.93
2017,Nova Scotia,"Business, finance and administration occupations [1]",853.37
2018,Nova Scotia,"Business, finance and administration occupations [1]",880.15
1997,Nova Scotia,Professional occupations in business and finance [11],654.82
1998,Nova Scotia,Professional occupations in business and finance [11],722.91
1999,Nova Scotia,Professional occupations in business and finance [11],676.18
2000,Nova Scotia,Professional occupations in business and finance [11],728.42
2001,Nova Scotia,Professional occupations in business and finance [11],808.11
2002,Nova Scotia,Professional occupations in business and finance [11],828.08
2003,Nova Scotia,Professional occupations in business and finance [11],824.77
2004,Nova Scotia,Professional occupations in business and finance [11],897.05
2005,Nova Scotia,Professional occupations in business and finance [11],892.09
2006,Nova Scotia,Professional occupations in business and finance [11],946.2
2007,Nova Scotia,Professional occupations in business and finance [11],946.67
2008,Nova Scotia,Professional occupations in business and finance [11],1047.54
2009,Nova Scotia,Professional occupations in business and finance [11],1088.31
2010,Nova Scotia,Professional occupations in business and finance [11],1107.51
2011,Nova Scotia,Professional occupations in business and finance [11],1045.85
2012,Nova Scotia,Professional occupations in business and finance [11],1115.99
2013,Nova Scotia,Professional occupations in business and finance [11],1091.87
2014,Nova Scotia,Professional occupations in business and finance [11],1158.91
2015,Nova Scotia,Professional occupations in business and finance [11],1096.89
2016,Nova Scotia,Professional occupations in business and finance [11],1169.98
2017,Nova Scotia,Professional occupations in business and finance [11],1173.19
2018,Nova Scotia,Professional occupations in business and finance [11],1237.48
1997,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],511.15
1998,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],502.78
1999,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],486.84
2000,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],522.48
2001,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],544.55
2002,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],549.05
2003,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],569.34
2004,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],557.76
2005,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],585.81
2006,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],621.07
2007,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],622.53
2008,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],670.17
2009,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],693.23
2010,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],693.41
2011,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],754.72
2012,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],732.54
2013,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],767.62
2014,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],769.34
2015,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],797.9
2016,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],770.37
2017,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],840.57
2018,Nova Scotia,Administrative and financial supervisors and administrative occupations [12],863.82
1997,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",441.43
1998,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",408.93
1999,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",487.84
2000,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",473.45
2001,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",480.35
2002,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",464.82
2003,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",507.15
2004,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",530.68
2005,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",504.15
2006,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",505.95
2007,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",603.54
2008,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",578.84
2009,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",573.88
2010,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",673.08
2011,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",655.73
2012,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",666.74
2013,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",694.5
2014,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",729.5
2015,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",717.31
2016,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",793.71
2017,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",828.46
2018,Nova Scotia,"Finance, insurance and related business administrative occupations [13]",787.99
1997,Nova Scotia,Office support occupations [14],366.55
1998,Nova Scotia,Office support occupations [14],392.4
1999,Nova Scotia,Office support occupations [14],398.81
2000,Nova Scotia,Office support occupations [14],404.18
2001,Nova Scotia,Office support occupations [14],442.67
2002,Nova Scotia,Office support occupations [14],450.37
2003,Nova Scotia,Office support occupations [14],455.79
2004,Nova Scotia,Office support occupations [14],492.29
2005,Nova Scotia,Office support occupations [14],480.78
2006,Nova Scotia,Office support occupations [14],511.22
2007,Nova Scotia,Office support occupations [14],519.74
2008,Nova Scotia,Office support occupations [14],534.03
2009,Nova Scotia,Office support occupations [14],576.21
2010,Nova Scotia,Office support occupations [14],578.69
2011,Nova Scotia,Office support occupations [14],596.54
2012,Nova Scotia,Office support occupations [14],594.64
2013,Nova Scotia,Office support occupations [14],631.16
2014,Nova Scotia,Office support occupations [14],641.01
2015,Nova Scotia,Office support occupations [14],632.14
2016,Nova Scotia,Office support occupations [14],648.92
2017,Nova Scotia,Office support occupations [14],669.95
2018,Nova Scotia,Office support occupations [14],700.01
1997,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",401.9
1998,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",450.06
1999,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",472.54
2000,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",460.08
2001,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",475.98
2002,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",506.14
2003,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",501.18
2004,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",492.01
2005,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",490.89
2006,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",514.33
2007,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",553.29
2008,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",568.27
2009,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",613.59
2010,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",621.4
2011,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",691.79
2012,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",701.99
2013,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",695.15
2014,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",657.78
2015,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",652.48
2016,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",717.84
2017,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",755
2018,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",753.71
1997,Nova Scotia,Natural and applied sciences and related occupations [2],703.16
1998,Nova Scotia,Natural and applied sciences and related occupations [2],750.54
1999,Nova Scotia,Natural and applied sciences and related occupations [2],739.36
2000,Nova Scotia,Natural and applied sciences and related occupations [2],801.2
2001,Nova Scotia,Natural and applied sciences and related occupations [2],859.53
2002,Nova Scotia,Natural and applied sciences and related occupations [2],834.3
2003,Nova Scotia,Natural and applied sciences and related occupations [2],852.13
2004,Nova Scotia,Natural and applied sciences and related occupations [2],869.74
2005,Nova Scotia,Natural and applied sciences and related occupations [2],921.51
2006,Nova Scotia,Natural and applied sciences and related occupations [2],929.15
2007,Nova Scotia,Natural and applied sciences and related occupations [2],953.64
2008,Nova Scotia,Natural and applied sciences and related occupations [2],1001.8
2009,Nova Scotia,Natural and applied sciences and related occupations [2],1052.92
2010,Nova Scotia,Natural and applied sciences and related occupations [2],1071.98
2011,Nova Scotia,Natural and applied sciences and related occupations [2],1027.16
2012,Nova Scotia,Natural and applied sciences and related occupations [2],1116.69
2013,Nova Scotia,Natural and applied sciences and related occupations [2],1127.44
2014,Nova Scotia,Natural and applied sciences and related occupations [2],1229.72
2015,Nova Scotia,Natural and applied sciences and related occupations [2],1207.12
2016,Nova Scotia,Natural and applied sciences and related occupations [2],1252.58
2017,Nova Scotia,Natural and applied sciences and related occupations [2],1264.68
2018,Nova Scotia,Natural and applied sciences and related occupations [2],1280.49
1997,Nova Scotia,Professional occupations in natural and applied sciences [21],783.16
1998,Nova Scotia,Professional occupations in natural and applied sciences [21],841.3
1999,Nova Scotia,Professional occupations in natural and applied sciences [21],820.19
2000,Nova Scotia,Professional occupations in natural and applied sciences [21],908.66
2001,Nova Scotia,Professional occupations in natural and applied sciences [21],948.98
2002,Nova Scotia,Professional occupations in natural and applied sciences [21],942.97
2003,Nova Scotia,Professional occupations in natural and applied sciences [21],987.69
2004,Nova Scotia,Professional occupations in natural and applied sciences [21],1027.42
2005,Nova Scotia,Professional occupations in natural and applied sciences [21],1054.23
2006,Nova Scotia,Professional occupations in natural and applied sciences [21],1043.36
2007,Nova Scotia,Professional occupations in natural and applied sciences [21],1080.7
2008,Nova Scotia,Professional occupations in natural and applied sciences [21],1119.09
2009,Nova Scotia,Professional occupations in natural and applied sciences [21],1209.8
2010,Nova Scotia,Professional occupations in natural and applied sciences [21],1260.43
2011,Nova Scotia,Professional occupations in natural and applied sciences [21],1183.43
2012,Nova Scotia,Professional occupations in natural and applied sciences [21],1231.3
2013,Nova Scotia,Professional occupations in natural and applied sciences [21],1230.65
2014,Nova Scotia,Professional occupations in natural and applied sciences [21],1325.13
2015,Nova Scotia,Professional occupations in natural and applied sciences [21],1311.58
2016,Nova Scotia,Professional occupations in natural and applied sciences [21],1323.29
2017,Nova Scotia,Professional occupations in natural and applied sciences [21],1329.98
2018,Nova Scotia,Professional occupations in natural and applied sciences [21],1436.94
1997,Nova Scotia,Technical occupations related to natural and applied sciences [22],647.64
1998,Nova Scotia,Technical occupations related to natural and applied sciences [22],695.24
1999,Nova Scotia,Technical occupations related to natural and applied sciences [22],698.17
2000,Nova Scotia,Technical occupations related to natural and applied sciences [22],735.89
2001,Nova Scotia,Technical occupations related to natural and applied sciences [22],792.93
2002,Nova Scotia,Technical occupations related to natural and applied sciences [22],770.18
2003,Nova Scotia,Technical occupations related to natural and applied sciences [22],772.79
2004,Nova Scotia,Technical occupations related to natural and applied sciences [22],746.45
2005,Nova Scotia,Technical occupations related to natural and applied sciences [22],831.2
2006,Nova Scotia,Technical occupations related to natural and applied sciences [22],850.9
2007,Nova Scotia,Technical occupations related to natural and applied sciences [22],858.2
2008,Nova Scotia,Technical occupations related to natural and applied sciences [22],914.5
2009,Nova Scotia,Technical occupations related to natural and applied sciences [22],944.55
2010,Nova Scotia,Technical occupations related to natural and applied sciences [22],921.48
2011,Nova Scotia,Technical occupations related to natural and applied sciences [22],915.99
2012,Nova Scotia,Technical occupations related to natural and applied sciences [22],1020.84
2013,Nova Scotia,Technical occupations related to natural and applied sciences [22],1048.38
2014,Nova Scotia,Technical occupations related to natural and applied sciences [22],1148.47
2015,Nova Scotia,Technical occupations related to natural and applied sciences [22],1130.18
2016,Nova Scotia,Technical occupations related to natural and applied sciences [22],1188.37
2017,Nova Scotia,Technical occupations related to natural and applied sciences [22],1207.74
2018,Nova Scotia,Technical occupations related to natural and applied sciences [22],1145.29
1997,Nova Scotia,Health occupations [3],492.02
1998,Nova Scotia,Health occupations [3],520.69
1999,Nova Scotia,Health occupations [3],563.08
2000,Nova Scotia,Health occupations [3],568.67
2001,Nova Scotia,Health occupations [3],611.48
2002,Nova Scotia,Health occupations [3],645.63
2003,Nova Scotia,Health occupations [3],649.21
2004,Nova Scotia,Health occupations [3],707.17
2005,Nova Scotia,Health occupations [3],714.19
2006,Nova Scotia,Health occupations [3],776.56
2007,Nova Scotia,Health occupations [3],787.25
2008,Nova Scotia,Health occupations [3],789.32
2009,Nova Scotia,Health occupations [3],826.69
2010,Nova Scotia,Health occupations [3],843.57
2011,Nova Scotia,Health occupations [3],879.75
2012,Nova Scotia,Health occupations [3],890.73
