year,geo,naics,wage_rate
2013,British Columbia,Educational services [61],833.49
2014,British Columbia,Educational services [61],842.67
2015,British Columbia,Educational services [61],884.24
2016,British Columbia,Educational services [61],883.17
2017,British Columbia,Educational services [61],917.45
2018,British Columbia,Educational services [61],928.86
2019,British Columbia,Educational services [61],956.05
2020,British Columbia,Educational services [61],994.08
1997,Manitoba,Educational services [61],438.93
1998,Manitoba,Educational services [61],448.11
1999,Manitoba,Educational services [61],469.25
2000,Manitoba,Educational services [61],467.51
2001,Manitoba,Educational services [61],474.93
2002,Manitoba,Educational services [61],470.05
2003,Manitoba,Educational services [61],520.31
2004,Manitoba,Educational services [61],549.99
2005,Manitoba,Educational services [61],557.94
2006,Manitoba,Educational services [61],563.68
2007,Manitoba,Educational services [61],569.97
2008,Manitoba,Educational services [61],617.61
2009,Manitoba,Educational services [61],612.36
2010,Manitoba,Educational services [61],642.27
2011,Manitoba,Educational services [61],663.98
2012,Manitoba,Educational services [61],660.64
2013,Manitoba,Educational services [61],691.61
2014,Manitoba,Educational services [61],682.94
2015,Manitoba,Educational services [61],740.1
2016,Manitoba,Educational services [61],773.23
2017,Manitoba,Educational services [61],767.36
2018,Manitoba,Educational services [61],750.5
2019,Manitoba,Educational services [61],779.7
2020,Manitoba,Educational services [61],833.14
1997,New Brunswick,Educational services [61],555.7
1998,New Brunswick,Educational services [61],581.59
1999,New Brunswick,Educational services [61],601.88
2000,New Brunswick,Educational services [61],630.43
2001,New Brunswick,Educational services [61],655.74
2002,New Brunswick,Educational services [61],675.51
2003,New Brunswick,Educational services [61],686.5
2004,New Brunswick,Educational services [61],759.44
2005,New Brunswick,Educational services [61],721.71
2006,New Brunswick,Educational services [61],767.89
2007,New Brunswick,Educational services [61],832.74
2008,New Brunswick,Educational services [61],836.17
2009,New Brunswick,Educational services [61],828.29
2010,New Brunswick,Educational services [61],900.56
2011,New Brunswick,Educational services [61],944.47
2012,New Brunswick,Educational services [61],987.83
2013,New Brunswick,Educational services [61],1008.89
2014,New Brunswick,Educational services [61],986.19
2015,New Brunswick,Educational services [61],979.04
2016,New Brunswick,Educational services [61],1077.51
2017,New Brunswick,Educational services [61],1079.12
2018,New Brunswick,Educational services [61],1052.45
2019,New Brunswick,Educational services [61],1193.25
2020,New Brunswick,Educational services [61],1106.5
1997,Newfoundland and Labrador,Educational services [61],634.23
1998,Newfoundland and Labrador,Educational services [61],658.28
1999,Newfoundland and Labrador,Educational services [61],680.81
2000,Newfoundland and Labrador,Educational services [61],705.19
2001,Newfoundland and Labrador,Educational services [61],692.82
2002,Newfoundland and Labrador,Educational services [61],738.2
2003,Newfoundland and Labrador,Educational services [61],741.03
2004,Newfoundland and Labrador,Educational services [61],774.72
2005,Newfoundland and Labrador,Educational services [61],789.78
2006,Newfoundland and Labrador,Educational services [61],821.77
2007,Newfoundland and Labrador,Educational services [61],829.03
2008,Newfoundland and Labrador,Educational services [61],855.32
2009,Newfoundland and Labrador,Educational services [61],860.52
2010,Newfoundland and Labrador,Educational services [61],902.34
2011,Newfoundland and Labrador,Educational services [61],900.56
2012,Newfoundland and Labrador,Educational services [61],899.55
2013,Newfoundland and Labrador,Educational services [61],946.27
2014,Newfoundland and Labrador,Educational services [61],953.81
2015,Newfoundland and Labrador,Educational services [61],954.5
2016,Newfoundland and Labrador,Educational services [61],974.48
2017,Newfoundland and Labrador,Educational services [61],1010.15
2018,Newfoundland and Labrador,Educational services [61],1045.57
2019,Newfoundland and Labrador,Educational services [61],1014.63
2020,Newfoundland and Labrador,Educational services [61],1056.01
1997,Nova Scotia,Educational services [61],414.24
1998,Nova Scotia,Educational services [61],405.68
1999,Nova Scotia,Educational services [61],425.41
2000,Nova Scotia,Educational services [61],442
2001,Nova Scotia,Educational services [61],449
2002,Nova Scotia,Educational services [61],461.31
2003,Nova Scotia,Educational services [61],472.23
2004,Nova Scotia,Educational services [61],483.75
2005,Nova Scotia,Educational services [61],491.55
2006,Nova Scotia,Educational services [61],499.48
2007,Nova Scotia,Educational services [61],519.85
2008,Nova Scotia,Educational services [61],540.89
2009,Nova Scotia,Educational services [61],555.46
2010,Nova Scotia,Educational services [61],561.65
2011,Nova Scotia,Educational services [61],601.67
2012,Nova Scotia,Educational services [61],623.3
2013,Nova Scotia,Educational services [61],612.49
2014,Nova Scotia,Educational services [61],632.92
2015,Nova Scotia,Educational services [61],657.41
2016,Nova Scotia,Educational services [61],645.46
2017,Nova Scotia,Educational services [61],685.26
2018,Nova Scotia,Educational services [61],672.8
2019,Nova Scotia,Educational services [61],701.75
2020,Nova Scotia,Educational services [61],723.92
1997,Ontario,Educational services [61],231.49
1998,Ontario,Educational services [61],228.28
1999,Ontario,Educational services [61],251.06
2000,Ontario,Educational services [61],239.14
2001,Ontario,Educational services [61],262.56
2002,Ontario,Educational services [61],253.87
2003,Ontario,Educational services [61],279.4
2004,Ontario,Educational services [61],285.91
2005,Ontario,Educational services [61],288.07
2006,Ontario,Educational services [61],303.91
2007,Ontario,Educational services [61],295.28
2008,Ontario,Educational services [61],309.43
2009,Ontario,Educational services [61],335.1
2010,Ontario,Educational services [61],335.69
2011,Ontario,Educational services [61],372.93
2012,Ontario,Educational services [61],403.09
2013,Ontario,Educational services [61],395.39
2014,Ontario,Educational services [61],395.01
2015,Ontario,Educational services [61],410.6
2016,Ontario,Educational services [61],406.46
2017,Ontario,Educational services [61],432.41
2018,Ontario,Educational services [61],444.82
2019,Ontario,Educational services [61],432.25
2020,Ontario,Educational services [61],438.91
1997,Prince Edward Island,Educational services [61],309.75
1998,Prince Edward Island,Educational services [61],324.61
1999,Prince Edward Island,Educational services [61],353.91
2000,Prince Edward Island,Educational services [61],379.81
2001,Prince Edward Island,Educational services [61],406.93
2002,Prince Edward Island,Educational services [61],441.14
2003,Prince Edward Island,Educational services [61],427.09
2004,Prince Edward Island,Educational services [61],436.82
2005,Prince Edward Island,Educational services [61],434.7
2006,Prince Edward Island,Educational services [61],459.7
2007,Prince Edward Island,Educational services [61],463.47
2008,Prince Edward Island,Educational services [61],486.88
2009,Prince Edward Island,Educational services [61],514.76
2010,Prince Edward Island,Educational services [61],521.28
2011,Prince Edward Island,Educational services [61],587.39
2012,Prince Edward Island,Educational services [61],565.61
2013,Prince Edward Island,Educational services [61],618.52
2014,Prince Edward Island,Educational services [61],633.06
2015,Prince Edward Island,Educational services [61],638.75
2016,Prince Edward Island,Educational services [61],590.19
2017,Prince Edward Island,Educational services [61],640.95
2018,Prince Edward Island,Educational services [61],652.71
2019,Prince Edward Island,Educational services [61],663.6
2020,Prince Edward Island,Educational services [61],733.72
1997,Quebec,Educational services [61],572.4
1998,Quebec,Educational services [61],562.05
1999,Quebec,Educational services [61],578.18
2000,Quebec,Educational services [61],629.94
2001,Quebec,Educational services [61],618.25
2002,Quebec,Educational services [61],616.94
2003,Quebec,Educational services [61],635.91
2004,Quebec,Educational services [61],655.92
2005,Quebec,Educational services [61],653.46
2006,Quebec,Educational services [61],684.65
2007,Quebec,Educational services [61],742.71
2008,Quebec,Educational services [61],796.55
2009,Quebec,Educational services [61],812.17
2010,Quebec,Educational services [61],841.57
2011,Quebec,Educational services [61],827.21
2012,Quebec,Educational services [61],892.51
2013,Quebec,Educational services [61],975.65
2014,Quebec,Educational services [61],1000.22
2015,Quebec,Educational services [61],1006.53
2016,Quebec,Educational services [61],983.34
2017,Quebec,Educational services [61],989.81
2018,Quebec,Educational services [61],1038.46
2019,Quebec,Educational services [61],997.7
2020,Quebec,Educational services [61],1105.68
1997,Saskatchewan,Educational services [61],624.87
1998,Saskatchewan,Educational services [61],651.82
1999,Saskatchewan,Educational services [61],639.34
2000,Saskatchewan,Educational services [61],644.88
2001,Saskatchewan,Educational services [61],638.8
2002,Saskatchewan,Educational services [61],662.69
2003,Saskatchewan,Educational services [61],672.34
2004,Saskatchewan,Educational services [61],696.7
2005,Saskatchewan,Educational services [61],738.35
2006,Saskatchewan,Educational services [61],767.9
2007,Saskatchewan,Educational services [61],810.89
2008,Saskatchewan,Educational services [61],785.6
2009,Saskatchewan,Educational services [61],853.05
2010,Saskatchewan,Educational services [61],882.47
2011,Saskatchewan,Educational services [61],880.45
2012,Saskatchewan,Educational services [61],916.64
2013,Saskatchewan,Educational services [61],933.86
2014,Saskatchewan,Educational services [61],950.23
2015,Saskatchewan,Educational services [61],946.5
2016,Saskatchewan,Educational services [61],1031.18
2017,Saskatchewan,Educational services [61],1048.98
2018,Saskatchewan,Educational services [61],1053.3
2019,Saskatchewan,Educational services [61],1118.28
2020,Saskatchewan,Educational services [61],1103.4
1997,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",471
1998,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",514.15
1999,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",516.78
2000,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",578.07
2001,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",585.01
2002,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",585.11
2003,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",603.18
2004,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",575.73
2005,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",598.23
2006,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",643.77
2007,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",643
2008,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",715.52
2009,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",774.29
2010,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",752.98
2011,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",768.14
2012,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",722.83
2013,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",781.27
2014,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",856.04
2015,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",847.35
2016,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",818.55
2017,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",882.87
2018,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",925.8
2019,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",902.2
2020,Alberta,"Finance, insurance, real estate, rental and leasing [52-53]",977.46
1997,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",475.15
1998,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",494.77
1999,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",470.6
2000,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",490.88
2001,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",534.1
2002,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",543.13
2003,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",557.2
2004,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",567.9
2005,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",599.55
2006,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",625.65
2007,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",658.87
2008,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",693.47
2009,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",706.16
2010,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",715.22
2011,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",741.09
2012,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",748.38
2013,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",764.95
2014,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",772.97
2015,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",792.64
2016,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",822.86
2017,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",850.91
2018,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",848.12
2019,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",843.04
2020,British Columbia,"Finance, insurance, real estate, rental and leasing [52-53]",872.24
1997,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",503.96
1998,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",513.87
1999,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",530.8
2000,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",570.09
2001,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",527.72
2002,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",517.51
2003,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",521.39
2004,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",537.22
2005,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",522.11
2006,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",579.94
2007,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",666.92
2008,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",660.1
2009,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",655.48
2010,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",661.52
2011,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",662.33
2012,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",715.53
2013,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",707.43
2014,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",768.13
2015,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",770.06
2016,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",761.15
2017,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",766.79
2018,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",736.46
2019,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",826.88
2020,Manitoba,"Finance, insurance, real estate, rental and leasing [52-53]",873.25
1997,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",551.77
1998,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",576.36
1999,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",582.81
2000,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",633.78
2001,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",610.42
2002,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",629.93
2003,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",649.56
2004,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",636.96
2005,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",663.6
2006,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",684.71
2007,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",731.26
2008,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",736.83
2009,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",757.44
2010,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",792.27
2011,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",787.1
2012,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",804.54
2013,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",849.09
2014,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",834.13
2015,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",897.45
2016,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",918.89
2017,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",938.46
2018,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",960.26
2019,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",1011.47
2020,New Brunswick,"Finance, insurance, real estate, rental and leasing [52-53]",1020.9
1997,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",389.08
1998,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",441.58
1999,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",411.91
2000,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",444.88
2001,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",459.29
2002,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",471.49
2003,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",452.35
2004,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",456.2
2005,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",514.5
2006,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",566.22
2007,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",501.7
2008,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",560.35
2009,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",586.35
2010,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",604.98
2011,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",611.65
2012,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",690.94
2013,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",675.84
2014,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",642.1
2015,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",705.18
2016,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",706.8
2017,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",731.02
2018,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",779.26
2019,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",708.71
2020,Newfoundland and Labrador,"Finance, insurance, real estate, rental and leasing [52-53]",801.9
1997,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",533.53
1998,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",558.31
1999,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",595.58
2000,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",630.14
2001,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",648.6
2002,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",649.5
2003,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",704.59
2004,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",729.8
2005,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",731.85
2006,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",801.21
2007,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",793.86
2008,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",830.99
2009,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",891.1
2010,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",911.19
2011,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",932.83
2012,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",923.54
2013,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",966.99
2014,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1005.51
2015,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1027.93
2016,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1119.19
2017,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1072.12
2018,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1073.09
2019,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1144.51
2020,Nova Scotia,"Finance, insurance, real estate, rental and leasing [52-53]",1211.09
1997,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",571.32
1998,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",544.39
1999,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",583.48
2000,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",593.04
2001,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",609.86
2002,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",628.66
2003,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",654.03
2004,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",689.27
2005,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",675.05
2006,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",704.81
2007,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",705.02
2008,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",749.81
2009,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",744.34
2010,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",777.17
2011,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",803.2
2012,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",814.14
2013,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",822.24
2014,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",856.31
2015,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",868.27
2016,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",920.94
2017,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",862.15
2018,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",984.08
2019,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",957.43
2020,Ontario,"Finance, insurance, real estate, rental and leasing [52-53]",978.83
1997,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",366.33
1998,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",359.29
1999,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",376.92
2000,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",390.69
2001,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",410.72
2002,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",402.3
2003,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",419.74
2004,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",429.71
2005,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",443.41
2006,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",436.17
2007,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",461.17
2008,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",484.06
2009,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",508.85
2010,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",523.54
2011,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",512.22
2012,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",551.37
2013,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",560.55
2014,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",573.32
2015,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",567.58
2016,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",598.83
2017,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",618.83
2018,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",585.03
2019,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",621.01
2020,Prince Edward Island,"Finance, insurance, real estate, rental and leasing [52-53]",639.08
1997,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",240.79
1998,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",219.99
1999,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",220.82
2000,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",244.65
2001,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",257.72
2002,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",242.27
2003,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",268.52
2004,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",273.18
2005,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",299.34
2006,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",318.83
2007,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",321.05
2008,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",354.46
2009,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",363.62
2010,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",407.1
2011,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",407.02
2012,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",427.01
2013,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",458.9
2014,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",474.33
2015,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",472.75
2016,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",449.99
2017,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",435.49
2018,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",469.54
2019,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",483.54
2020,Quebec,"Finance, insurance, real estate, rental and leasing [52-53]",525.52
1997,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",276.87
1998,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",344.49
1999,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",338.46
2000,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",387.86
2001,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",430.62
2002,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",418.06
2003,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",424.25
2004,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",380.09
2005,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",445.25
2006,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",426.63
2007,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",522.39
2008,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",512.96
2009,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",614.15
2010,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",622.23
2011,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",639.08
2012,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",762.77
2013,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",835.49
2014,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",829.56
2015,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",736.88
2016,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",900.68
2017,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",853.08
2018,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",840.62
2019,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",892.27
2020,Saskatchewan,"Finance, insurance, real estate, rental and leasing [52-53]",874.65
1997,Alberta,Health care and social assistance [62],612.53
1998,Alberta,Health care and social assistance [62],574.8
1999,Alberta,Health care and social assistance [62],592.52
2000,Alberta,Health care and social assistance [62],625.33
2001,Alberta,Health care and social assistance [62],646.19
2002,Alberta,Health care and social assistance [62],640.51
2003,Alberta,Health care and social assistance [62],721.79
2004,Alberta,Health care and social assistance [62],711.06
2005,Alberta,Health care and social assistance [62],741.16
2006,Alberta,Health care and social assistance [62],773.41
2007,Alberta,Health care and social assistance [62],854.87
2008,Alberta,Health care and social assistance [62],980.13
